"","ID","Electorate","Party","PartyVotes","MPName","MPParty","MPVotes"
"1",1,"Auckland Central","Labour Party","    4758","ARDERN, Jacinda","LAB","9393"
"2",1,"Auckland Central","ACT New Zealand","      244","KOVALENKO, Dasha","ACT","142"
"3",1,"Auckland Central"," "," ","OSMASTON, Jordan","MFP","12"
"4",1,"Auckland Central","Green Party","    4584","ROCHE, Denise","GP","1537"
"5",1,"Auckland Central","Aotearoa Legalise Cannabis Party","       62"," "," "," "
"6",1,"Auckland Central","Democrats for Social Credit","        3"," "," "," "
"7",1,"Auckland Central","Internet MANA","      384"," "," "," "
"8",1,"Auckland Central","New Zealand First Party","    1187"," "," "," "
"9",1,"Auckland Central","The Civilian Party","       12"," "," "," "
"10",1,"Auckland Central","National Party","    9799","KAYE, Nikki","NAT","10040"
"11",1,"Auckland Central","Conservative","      395","MONAHAN, Regan","CNSP","206"
"12",1,"Auckland Central"," "," ","PIERARD, Miriam","IP","172"
"13",1,"Auckland Central"," "," ","WHITMORE, Peter","CLI","27"
"14",1,"Auckland Central","Ban1080","        6"," "," "," "
"15",1,"Auckland Central","Focus New Zealand","        2"," "," "," "
"16",1,"Auckland Central","Maori Party","      118"," "," "," "
"17",1,"Auckland Central","NZ Independent Coalition","        6"," "," "," "
"18",1,"Auckland Central","United Future","       35"," "," "," "
"19",2,"Bay of Plenty","Conservative","    1906","CUNLIFFE, Deborah","CNSP","1211"
"20",2,"Bay of Plenty","NZ Independent Coalition","       92","HORAN, Brendan ","NZIC","1153"
"21",2,"Bay of Plenty","National Party","   19243","MULLER, Todd","NAT","20013"
"22",2,"Bay of Plenty","Labour Party","    4190","WILSON, Clare","LAB","5884"
"23",2,"Bay of Plenty","Aotearoa Legalise Cannabis Party","      100"," "," "," "
"24",2,"Bay of Plenty","Focus New Zealand","        5"," "," "," "
"25",2,"Bay of Plenty","Internet MANA","      138"," "," "," "
"26",2,"Bay of Plenty","The Civilian Party","        9"," "," "," "
"27",2,"Bay of Plenty","New Zealand First Party","    4683","DOLMAN, Raymond","NZF","4180"
"28",2,"Bay of Plenty","Democrats for Social Credit","       29","LIVINGSTON, Tracy","NZDSC","134"
"29",2,"Bay of Plenty","United Future","       61","RICKARD, Ben","UFNZ","112"
"30",2,"Bay of Plenty","ACT New Zealand","       78"," "," "," "
"31",2,"Bay of Plenty","Ban1080","       40"," "," "," "
"32",2,"Bay of Plenty","Green Party","    2187"," "," "," "
"33",2,"Bay of Plenty","Maori Party","      176"," "," "," "
"34",3,"Botany","Labour Party","    6209","MAMEDOV, Tofik","LAB","6583"
"35",3,"Botany","Conservative","    1346","YOUNG, Paul","CNSP","2784"
"36",3,"Botany","Aotearoa Legalise Cannabis Party","       71"," "," "," "
"37",3,"Botany","Democrats for Social Credit","        5"," "," "," "
"38",3,"Botany","Green Party","    1212"," "," "," "
"39",3,"Botany","Maori Party","       57"," "," "," "
"40",3,"Botany","NZ Independent Coalition","        8"," "," "," "
"41",3,"Botany","United Future","       41"," "," "," "
"42",3,"Botany"," "," ","McCORMICK, David John","IND","579"
"43",3,"Botany","National Party","   18066","ROSS, Jami-Lee","NAT","19107"
"44",3,"Botany","ACT New Zealand","      718"," "," "," "
"45",3,"Botany","Ban1080","        9"," "," "," "
"46",3,"Botany","Focus New Zealand","        4"," "," "," "
"47",3,"Botany","Internet MANA","      157"," "," "," "
"48",3,"Botany","New Zealand First Party","    1609"," "," "," "
"49",3,"Botany","The Civilian Party","        7"," "," "," "
"50",4,"Christchurch Central","Democrats for Social Credit","       20","COLUMBUS, Robin","NZDSC","42"
